nm, %T
1200.000000, 89.857076
1190.000000, 89.803447
1180.000000, 89.725959
1170.000000, 89.704989
1160.000000, 89.661514
1150.000000, 89.644377
1140.000000, 89.596398
1130.000000, 89.583529
1120.000000, 89.540922
1110.000000, 89.526181
1100.000000, 89.493720
1090.000000, 89.480414
1080.000000, 89.458321
1070.000000, 89.415596
1060.000000, 89.406436
1050.000000, 89.376013
1040.000000, 89.351623
1030.000000, 89.332232
1020.000000, 89.304700
1010.000000, 89.281497
1000.000000, 89.268763
990.000000, 89.255622
980.000000, 89.173902
970.000000, 89.167943
960.000000, 89.141332
950.000000, 89.087903
940.000000, 89.014721
930.000000, 88.978037
920.000000, 88.925132
910.000000, 88.929333
900.000000, 88.881263
890.000000, 88.791504
880.000000, 88.696659
870.000000, 88.629368
860.000000, 88.567209
850.000000, 88.381435
840.000000, 88.116473
830.000000, 87.855538
820.000000, 87.681844
810.000000, 87.748536
800.000000, 87.610392
790.000000, 87.867070
780.000000, 87.618483
770.000000, 87.714585
760.000000, 87.459070
750.000000, 87.076664
740.000000, 87.074458
730.000000, 86.951596
720.000000, 86.778847
710.000000, 86.483442
700.000000, 86.407013
690.000000, 86.060763
680.000000, 85.984967
670.000000, 85.638536
660.000000, 85.386437
650.000000, 85.178124
640.000000, 84.793018
630.000000, 84.473463
620.000000, 84.133362
610.000000, 83.624814
600.000000, 83.075415
590.000000, 82.247713
580.000000, 80.896018
570.000000, 78.909881
560.000000, 76.608417
550.000000, 74.456797
540.000000, 72.992888
530.000000, 72.124449
520.000000, 71.673945
510.000000, 71.228350
500.000000, 70.744854
490.000000, 69.899588
480.000000, 69.101637
470.000000, 68.576532
460.000000, 68.172136
450.000000, 67.766269
440.000000, 67.642190
430.000000, 67.540684
420.000000, 67.260725
410.000000, 66.797806
400.000000, 66.376530
