nm, %T
1200.000000, 81.017629
1190.000000, 80.908670
1180.000000, 80.775291
1170.000000, 80.678416
1160.000000, 80.571143
1150.000000, 80.528020
1140.000000, 80.430178
1130.000000, 80.341239
1120.000000, 80.267022
1110.000000, 80.185128
1100.000000, 80.135109
1090.000000, 80.057353
1080.000000, 79.983369
1070.000000, 79.918754
1060.000000, 79.841902
1050.000000, 79.777828
1040.000000, 79.709913
1030.000000, 79.626623
1020.000000, 79.563813
1010.000000, 79.483744
1000.000000, 79.442900
990.000000, 79.334037
980.000000, 79.229833
970.000000, 79.175323
960.000000, 79.073751
950.000000, 78.980916
940.000000, 78.877311
930.000000, 78.764050
920.000000, 78.662083
910.000000, 78.553958
900.000000, 78.464669
890.000000, 78.378183
880.000000, 78.245344
870.000000, 78.130339
860.000000, 78.037260
850.000000, 77.700797
840.000000, 77.218411
830.000000, 76.744946
820.000000, 76.435251
810.000000, 76.627692
800.000000, 77.136274
790.000000, 77.206135
780.000000, 76.985281
770.000000, 76.887717
760.000000, 76.752379
750.000000, 76.303901
740.000000, 76.177697
730.000000, 76.039336
720.000000, 75.770960
710.000000, 75.612494
700.000000, 75.413637
690.000000, 75.128354
680.000000, 75.052879
670.000000, 74.768385
660.000000, 74.471720
650.000000, 74.199520
640.000000, 73.879971
630.000000, 73.544096
620.000000, 72.940635
610.000000, 72.065918
600.000000, 70.516602
590.000000, 67.944031
580.000000, 64.130899
570.000000, 59.311312
560.000000, 54.242242
550.000000, 49.361348
540.000000, 45.502235
530.000000, 42.700694
520.000000, 40.688696
510.000000, 39.255561
500.000000, 38.428634
490.000000, 38.506611
480.000000, 40.861068
470.000000, 42.752064
460.000000, 41.014501
450.000000, 39.069458
440.000000, 37.950349
430.000000, 37.640352
420.000000, 37.569936
410.000000, 37.556199
400.000000, 37.687666
