nm, %T
1200.000000, 84.584244
1190.000000, 84.498014
1180.000000, 84.446850
1170.000000, 84.378119
1160.000000, 84.333231
1150.000000, 84.281479
1140.000000, 84.218788
1130.000000, 84.173089
1120.000000, 84.087685
1110.000000, 84.044671
1100.000000, 83.985512
1090.000000, 83.929354
1080.000000, 83.867744
1070.000000, 83.802455
1060.000000, 83.737497
1050.000000, 83.675159
1040.000000, 83.611221
1030.000000, 83.524233
1020.000000, 83.489730
1010.000000, 83.409325
1000.000000, 83.371460
990.000000, 83.296192
980.000000, 83.211087
970.000000, 83.136299
960.000000, 83.097021
950.000000, 83.027373
940.000000, 82.945550
930.000000, 82.875508
920.000000, 82.829936
910.000000, 82.772547
900.000000, 82.718749
890.000000, 82.662079
880.000000, 82.563698
870.000000, 82.513844
860.000000, 82.465370
850.000000, 82.260768
840.000000, 81.966018
830.000000, 81.679775
820.000000, 81.500693
810.000000, 81.724432
800.000000, 81.743463
790.000000, 82.088104
780.000000, 81.856937
770.000000, 81.884135
760.000000, 81.886629
750.000000, 81.597842
740.000000, 81.494802
730.000000, 81.471572
720.000000, 81.339297
710.000000, 81.178342
700.000000, 81.134429
690.000000, 81.055081
680.000000, 80.979162
670.000000, 80.825637
660.000000, 80.621649
650.000000, 80.540431
640.000000, 80.400744
630.000000, 80.235970
620.000000, 80.088185
610.000000, 79.836258
600.000000, 79.458993
590.000000, 78.945577
580.000000, 78.266527
570.000000, 77.483055
560.000000, 76.666275
550.000000, 75.576481
540.000000, 74.003903
530.000000, 72.003375
520.000000, 69.792182
510.000000, 67.633146
500.000000, 65.451701
490.000000, 63.243861
480.000000, 61.599481
470.000000, 61.095288
460.000000, 61.247129
450.000000, 60.669890
440.000000, 59.556360
430.000000, 59.791739
420.000000, 60.278168
410.000000, 59.235613
400.000000, 58.386938
