nm, %T
1200.000000, 81.230397
1190.000000, 81.154265
1180.000000, 81.084722
1170.000000, 81.012140
1160.000000, 80.949794
1150.000000, 80.907927
1140.000000, 80.858368
1130.000000, 80.771060
1120.000000, 80.720079
1110.000000, 80.639627
1100.000000, 80.578777
1090.000000, 80.517004
1080.000000, 80.459564
1070.000000, 80.381192
1060.000000, 80.324374
1050.000000, 80.252988
1040.000000, 80.199658
1030.000000, 80.113115
1020.000000, 80.035462
1010.000000, 79.948863
1000.000000, 79.889583
990.000000, 79.809800
980.000000, 79.707115
970.000000, 79.631681
960.000000, 79.551079
950.000000, 79.437620
940.000000, 79.326316
930.000000, 79.230951
920.000000, 79.128682
910.000000, 79.058873
900.000000, 78.938301
890.000000, 78.808833
880.000000, 78.684612
870.000000, 78.549358
860.000000, 78.447608
850.000000, 78.186007
840.000000, 77.813829
830.000000, 77.451909
820.000000, 77.221082
810.000000, 77.447590
800.000000, 77.493577
790.000000, 77.880144
780.000000, 77.550318
770.000000, 77.524315
760.000000, 77.262221
750.000000, 77.044875
740.000000, 76.950616
730.000000, 76.881511
720.000000, 76.638704
710.000000, 76.396888
700.000000, 76.263566
690.000000, 75.992331
680.000000, 75.880609
670.000000, 75.578162
660.000000, 75.244239
650.000000, 74.928439
640.000000, 74.518629
630.000000, 74.018178
620.000000, 73.448168
610.000000, 72.413728
600.000000, 70.612234
590.000000, 67.539548
580.000000, 62.440299
570.000000, 54.568900
560.000000, 43.781630
550.000000, 32.145932
540.000000, 23.731301
530.000000, 19.426283
520.000000, 17.828196
510.000000, 17.210408
500.000000, 16.454939
490.000000, 14.967266
480.000000, 13.847944
470.000000, 13.603525
460.000000, 13.546743
450.000000, 13.351624
440.000000, 13.148827
430.000000, 13.321474
420.000000, 13.504673
410.000000, 13.699982
400.000000, 13.892015
