nm, %T
1200.000000, 91.554152
1190.000000, 91.509086
1180.000000, 91.457369
1170.000000, 91.448406
1160.000000, 91.441296
1150.000000, 91.430478
1140.000000, 91.402771
1130.000000, 91.415474
1120.000000, 91.408571
1110.000000, 91.420434
1100.000000, 91.427175
1090.000000, 91.432141
1080.000000, 91.426765
1070.000000, 91.420900
1060.000000, 91.433639
1050.000000, 91.426753
1040.000000, 91.442733
1030.000000, 91.430359
1020.000000, 91.449403
1010.000000, 91.454997
1000.000000, 91.467860
990.000000, 91.456795
980.000000, 91.443286
970.000000, 91.462643
960.000000, 91.473206
950.000000, 91.504584
940.000000, 91.459697
930.000000, 91.478260
920.000000, 91.475557
910.000000, 91.482573
900.000000, 91.461525
890.000000, 91.474441
880.000000, 91.479637
870.000000, 91.496542
860.000000, 91.487717
850.000000, 91.382448
840.000000, 91.227970
830.000000, 91.084166
820.000000, 91.010919
810.000000, 91.343652
800.000000, 90.947053
790.000000, 91.468774
780.000000, 91.356155
770.000000, 91.424670
760.000000, 91.343465
750.000000, 91.161729
740.000000, 91.200831
730.000000, 91.301745
720.000000, 91.131424
710.000000, 91.025071
700.000000, 91.117521
690.000000, 91.064383
680.000000, 91.114962
670.000000, 91.014036
660.000000, 90.874066
650.000000, 90.905088
640.000000, 90.795357
630.000000, 90.806257
620.000000, 90.789758
610.000000, 90.657114
600.000000, 90.505587
590.000000, 90.429618
580.000000, 90.340978
570.000000, 90.177913
560.000000, 90.028142
550.000000, 89.780666
540.000000, 89.515592
530.000000, 89.067854
520.000000, 88.454213
510.000000, 87.227096
500.000000, 84.754927
490.000000, 79.428700
480.000000, 69.628749
470.000000, 55.466716
460.000000, 41.280435
450.000000, 31.879641
440.000000, 27.428984
430.000000, 29.035537
420.000000, 37.953141
410.000000, 39.666408
400.000000, 23.327712
