nm, %T
1100.000000, 74.428874
1098.000000, 74.459465
1096.000000, 74.567209
1094.000000, 74.608667
1092.000000, 74.685293
1090.000000, 74.771345
1088.000000, 74.816349
1086.000000, 74.918726
1084.000000, 74.975206
1082.000000, 75.084432
1080.000000, 75.168366
1078.000000, 75.274531
1076.000000, 75.349361
1074.000000, 75.436988
1072.000000, 75.544009
1070.000000, 75.651357
1068.000000, 75.763045
1066.000000, 75.878855
1064.000000, 75.976424
1062.000000, 76.095098
1060.000000, 76.218862
1058.000000, 76.330168
1056.000000, 76.472251
1054.000000, 76.551688
1052.000000, 76.693465
1050.000000, 76.849263
1048.000000, 76.959175
1046.000000, 77.110926
1044.000000, 77.235960
1042.000000, 77.347993
1040.000000, 77.485819
1038.000000, 77.606009
1036.000000, 77.773124
1034.000000, 77.916307
1032.000000, 78.075627
1030.000000, 78.198115
1028.000000, 78.391587
1026.000000, 78.517862
1024.000000, 78.690601
1022.000000, 78.835573
1020.000000, 78.984950
1018.000000, 79.161198
1016.000000, 79.323033
1014.000000, 79.467170
1012.000000, 79.674484
1010.000000, 79.833659
1008.000000, 80.020277
1006.000000, 80.194742
1004.000000, 80.360703
1002.000000, 80.521741
1000.000000, 80.720940
998.000000, 80.898558
996.000000, 81.054493
994.000000, 81.258455
992.000000, 81.416244
990.000000, 81.588372
988.000000, 81.790426
986.000000, 81.947714
984.000000, 82.129278
982.000000, 82.331565
980.000000, 82.511396
978.000000, 82.680854
976.000000, 82.858210
974.000000, 83.026209
972.000000, 83.217291
970.000000, 83.388506
968.000000, 83.541428
966.000000, 83.740231
964.000000, 83.920485
962.000000, 84.080896
960.000000, 84.254134
958.000000, 84.389989
956.000000, 84.546075
954.000000, 84.706723
952.000000, 84.862791
950.000000, 85.013975
948.000000, 85.159821
946.000000, 85.287619
944.000000, 85.433098
942.000000, 85.566389
940.000000, 85.697028
938.000000, 85.814187
936.000000, 85.932416
934.000000, 86.067723
932.000000, 86.180984
930.000000, 86.278333
928.000000, 86.376006
926.000000, 86.473320
924.000000, 86.542538
922.000000, 86.629805
920.000000, 86.708330
918.000000, 86.776368
916.000000, 86.828814
914.000000, 86.880124
912.000000, 86.930436
910.000000, 86.960429
908.000000, 86.990825
906.000000, 87.013243
904.000000, 87.011414
902.000000, 87.009619
900.000000, 87.015299
898.000000, 87.016804
896.000000, 86.976757
894.000000, 86.925593
892.000000, 86.904161
890.000000, 86.842556
888.000000, 86.772678
886.000000, 86.713408
884.000000, 86.620912
882.000000, 86.522451
880.000000, 86.420336
878.000000, 86.324085
876.000000, 86.198681
874.000000, 86.048383
872.000000, 85.913006
870.000000, 85.773436
868.000000, 85.627114
866.000000, 85.457497
864.000000, 85.262218
862.000000, 85.045233
860.000000, 84.832967
858.000000, 84.832967
856.000000, 84.832967
854.000000, 84.832967
852.000000, 84.832967
850.000000, 84.832967
848.000000, 84.832967
846.000000, 84.832967
844.000000, 84.832967
842.000000, 84.832967
840.000000, 84.832967
838.000000, 84.832967
836.000000, 84.832967
834.000000, 84.832967
832.000000, 84.832967
830.000000, 84.832967
828.000000, 84.832967
826.000000, 84.832967
824.000000, 84.832967
822.000000, 84.832967
820.000000, 84.832967
818.000000, 84.832967
816.000000, 84.832967
814.000000, 84.085219
812.000000, 81.404525
810.000000, 79.183868
808.000000, 78.909552
806.000000, 78.558119
804.000000, 78.312010
802.000000, 77.948936
800.000000, 77.505346
798.000000, 77.106070
796.000000, 76.744938
794.000000, 76.616619
792.000000, 76.229621
790.000000, 75.793917
788.000000, 75.566064
786.000000, 75.280403
784.000000, 75.035372
782.000000, 74.962927
780.000000, 74.725975
778.000000, 74.319305
776.000000, 74.056297
774.000000, 73.947578
772.000000, 73.749717
770.000000, 73.513725
768.000000, 73.263140
766.000000, 73.126129
764.000000, 72.869533
762.000000, 72.567784
760.000000, 72.406997
758.000000, 72.245745
756.000000, 72.160426
754.000000, 71.923171
752.000000, 71.797666
750.000000, 71.759257
748.000000, 71.583110
746.000000, 71.471143
744.000000, 71.374484
742.000000, 71.263140
740.000000, 71.177986
738.000000, 71.021978
736.000000, 71.036650
734.000000, 71.087536
732.000000, 71.049801
730.000000, 71.123497
728.000000, 71.214785
726.000000, 71.244814
724.000000, 71.333439
722.000000, 71.440140
720.000000, 71.508542
718.000000, 71.643312
716.000000, 71.827011
714.000000, 72.032771
712.000000, 72.271306
710.000000, 72.508890
708.000000, 72.786757
706.000000, 73.044501
704.000000, 73.396610
702.000000, 73.757686
700.000000, 73.987462
698.000000, 74.251690
696.000000, 74.659798
694.000000, 75.042391
692.000000, 75.495522
690.000000, 75.897187
688.000000, 76.208523
686.000000, 76.612323
684.000000, 77.013283
682.000000, 77.394210
680.000000, 77.720354
678.000000, 78.058714
676.000000, 78.393566
674.000000, 78.637771
672.000000, 78.719052
670.000000, 78.690101
668.000000, 78.532588
666.000000, 78.218420
664.000000, 77.723623
662.000000, 76.940884
660.000000, 75.783670
658.000000, 74.234362
656.000000, 72.252964
654.000000, 69.694330
652.000000, 66.534590
650.000000, 62.753484
648.000000, 58.483673
646.000000, 53.744592
644.000000, 48.599989
642.000000, 43.320811
640.000000, 38.061289
638.000000, 33.053925
636.000000, 28.539597
634.000000, 24.601536
632.000000, 21.296895
630.000000, 18.678357
628.000000, 16.685148
626.000000, 15.215694
624.000000, 14.187208
622.000000, 13.493249
620.000000, 13.038777
618.000000, 12.782483
616.000000, 12.640874
614.000000, 12.567905
612.000000, 12.549883
610.000000, 12.537948
608.000000, 12.526793
606.000000, 12.506077
604.000000, 12.498650
602.000000, 12.475066
600.000000, 12.406037
598.000000, 12.337519
596.000000, 12.257431
