nm, %T
1200.000000, 77.770477
1198.000000, 77.721208
1196.000000, 77.678958
1194.000000, 77.592896
1192.000000, 77.515999
1190.000000, 77.461288
1188.000000, 77.346220
1186.000000, 77.280885
1184.000000, 77.213296
1182.000000, 77.146971
1180.000000, 77.094297
1178.000000, 77.033997
1176.000000, 76.965523
1174.000000, 76.896327
1172.000000, 76.829385
1170.000000, 76.769828
1168.000000, 76.704193
1166.000000, 76.653191
1164.000000, 76.617421
1162.000000, 76.525451
1160.000000, 76.484335
1158.000000, 76.459290
1156.000000, 76.400009
1154.000000, 76.361098
1152.000000, 76.294920
1150.000000, 76.276268
1148.000000, 76.224224
1146.000000, 76.167615
1144.000000, 76.137656
1142.000000, 76.100711
1140.000000, 76.062914
1138.000000, 76.002287
1136.000000, 75.972510
1134.000000, 75.947475
1132.000000, 75.890131
1130.000000, 75.854723
1128.000000, 75.862849
1126.000000, 75.828445
1124.000000, 75.793141
1122.000000, 75.796121
1120.000000, 75.766102
1118.000000, 75.744391
1116.000000, 75.723936
1114.000000, 75.706271
1112.000000, 75.691928
1110.000000, 75.677207
1108.000000, 75.683769
1106.000000, 75.648097
1104.000000, 75.648288
1102.000000, 75.658362
1100.000000, 75.642200
1098.000000, 75.662410
1096.000000, 75.655711
1094.000000, 75.649534
1092.000000, 75.659178
1090.000000, 75.669665
1088.000000, 75.667071
1086.000000, 75.663773
1084.000000, 75.669642
1082.000000, 75.667665
1080.000000, 75.713264
1078.000000, 75.746638
1076.000000, 75.772537
1074.000000, 75.781211
1072.000000, 75.819371
1070.000000, 75.844111
1068.000000, 75.876323
1066.000000, 75.913978
1064.000000, 75.953066
1062.000000, 75.999122
1060.000000, 76.023469
1058.000000, 76.076250
1056.000000, 76.106460
1054.000000, 76.148950
1052.000000, 76.218412
1050.000000, 76.261404
1048.000000, 76.313708
1046.000000, 76.366637
1044.000000, 76.440482
1042.000000, 76.499906
1040.000000, 76.561129
1038.000000, 76.645412
1036.000000, 76.700815
1034.000000, 76.769084
1032.000000, 76.848028
1030.000000, 76.960592
1028.000000, 77.027397
1026.000000, 77.105310
1024.000000, 77.210177
1022.000000, 77.288760
1020.000000, 77.360343
1018.000000, 77.477071
1016.000000, 77.564148
1014.000000, 77.656304
1012.000000, 77.758085
1010.000000, 77.862691
1008.000000, 77.967477
1006.000000, 78.076416
1004.000000, 78.200051
1002.000000, 78.309552
1000.000000, 78.423634
998.000000, 78.539303
996.000000, 78.671821
994.000000, 78.803072
992.000000, 78.914848
990.000000, 79.045224
988.000000, 79.179986
986.000000, 79.307913
984.000000, 79.437194
982.000000, 79.586738
980.000000, 79.732754
978.000000, 79.882089
976.000000, 80.024772
974.000000, 80.174098
972.000000, 80.323510
970.000000, 80.463323
968.000000, 80.620329
966.000000, 80.783415
964.000000, 80.942060
962.000000, 81.100426
960.000000, 81.259878
